name,height_m,best_time,stride_length_m,stride_frequency_hz,country
Usain Bolt,1.96,9.58,2.44,4.3,JAM
Tyson Gay,1.78,9.69,2.35,4.8,USA
Asafa Powell,1.88,9.72,2.4,4.6,JAM
Su Bingtian,1.72,9.83,2.15,4.9,CHN
Christian Coleman,1.75,9.76,2.2,5,USA
Fred Kerley,1.91,9.76,2.35,4.6,USA
Yohan Blake,1.8,9.69,2.3,4.8,JAM
Ferdinand Omanyala,1.72,9.77,2.18,4.9,KEN
Trayvon Bromell,1.78,9.77,2.25,4.7,USA
Yoshihide Kiryu,1.78,9.98,2.15,4.8,JPN
Tada Shuhei,1.76,10.01,2.1,4.8,JPN
Koike Yuki,1.75,9.98,2.15,4.9,JPN
Sani Brown Abdul Hakim,1.88,9.98,2.25,4.7,JPN
Chen Guanfeng,1.82,10.06,2.1,4.7,CHN
Wu Zhiqiang,1.8,10.11,2.05,4.65,CHN
Xie Zhenye,1.83,9.97,2.1,4.8,CHN
Yamagata Ryota,1.76,9.95,2.1,4.9,JPN
Noah lyles,1.8,9.86,2.4,4.75,USA
Ronnie Baker,1.73,9.83,2.3,4.8,USA
Nesta Carter,1.72,9.78,2.2,4.9,JAM
Oblique Seville,1.7,9.86,2.3,4.7,JAM
Rohan Browning,1.77,10.01,2.4,4.3,AU
Patrick Johnson,1.8,9.93,2.3,4.5,AU
Marcell Jacobs,1.88,9.8,2.4,4.6,ITA
Zharnel Hughes,1.9,9.83,2.5,4.6,UK
Jimmy Vicaut,1.85,9.86,2.3,4.75,FRA
Christophe Lemaitre,1.89,9.92,2.3,4.6,FRA
Filippo Tortu,1.87,9.99,2.4,4.5,ITA
Adam Gemil,1.78,9.97,2.2,4.8,UK
Zhang Peimeng,1.87,10.00,2.2,4.6,CHN
Maurice Greene,1.79,9.79,2.3,4.8,USA
